name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
singapore,2019-03-21,34.3,24.7,28.3,40.1,24.7,31.0,23.4,76.4,13.614,100,4.17,rain,0,0,,18.6,24.4,1009.9,62.5,9.3,226.6,19.7,10,,2019-03-21T07:08:34,2019-03-21T19:15:16,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-03-22,34.2,25.7,29.0,39.1,25.7,32.3,24.0,76.0,0.105,100,4.17,rain,0,0,,13.8,50.7,1010.0,61.3,9.8,262.2,22.8,10,,2019-03-22T07:08:14,2019-03-22T19:15:00,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-03-23,33.6,27.0,29.4,41.1,30.4,35.0,25.0,77.4,0.264,100,4.17,rain,0,0,,15.9,72.0,1009.5,65.4,9.2,246.1,21.2,9,,2019-03-23T07:07:54,2019-03-23T19:14:44,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-03-24,32.6,27.0,29.1,40.9,30.4,34.3,24.8,78.4,0.0,0,0.0,,0,0,,18.8,51.3,1009.1,60.7,10.0,172.9,15.0,10,,2019-03-24T07:07:34,2019-03-24T19:14:28,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-03-25,33.3,27.0,28.9,39.6,30.5,34.0,24.8,78.8,9.372,100,8.33,rain,0,0,,15.3,57.6,1009.6,62.1,9.5,161.4,13.8,8,,2019-03-25T07:07:14,2019-03-25T19:14:12,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-03-26,34.1,27.5,29.9,40.3,31.6,35.2,24.5,73.9,0.695,100,4.17,rain,0,0,,21.8,52.6,1010.5,64.8,10.2,215.8,18.8,8,,2019-03-26T07:06:53,2019-03-26T19:13:56,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-03-27,34.6,27.3,30.3,39.4,30.8,34.6,23.5,68.4,0.0,0,0.0,,0,0,,20.4,43.9,1011.4,65.1,10.2,241.9,21.0,10,,2019-03-27T07:06:33,2019-03-27T19:13:40,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-03-28,33.6,23.7,28.4,41.3,23.7,32.5,24.4,79.9,27.814,100,8.33,rain,0,0,51.8,12.0,54.1,1011.0,61.9,9.5,119.2,10.0,10,,2019-03-28T07:06:13,2019-03-28T19:13:25,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-03-29,32.9,25.6,29.2,39.1,25.6,32.9,24.2,75.8,3.032,100,4.17,rain,0,0,,11.4,99.4,1009.2,63.1,9.8,167.9,14.8,7,,2019-03-29T07:05:53,2019-03-29T19:13:09,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-03-30,31.7,26.3,28.3,39.1,26.3,32.7,24.6,80.7,0.0,0,0.0,,0,0,35.3,17.2,184.5,1009.7,63.2,9.8,179.9,15.5,8,,2019-03-30T07:05:32,2019-03-30T19:12:53,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
