videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt,parent_id,comment_id
HA1_r3dNk_Q,Let spread the virus,Let spread the virus,LSK Clips,https://yt3.ggpht.com/ytc/AGIKgqOhXTxPars4BPtLvaQM_uUOWXH2HC3g6jUw4TiZ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCLg9iidZ3Ov74MiXRSmD7fg,{'value': 'UCLg9iidZ3Ov74MiXRSmD7fg'},True,none,0,2023-01-09T11:04:39Z,2023-01-09T11:04:39Z,,UgzdZlQ4YVHspGublJF4AaABAg
HA1_r3dNk_Q,"🆗<a href=""https://youtu.be/1ex1NWaiSlo"">https://youtu.be/1ex1NWaiSlo</a>",🆗https://youtu.be/1ex1NWaiSlo,Favourites,https://yt3.ggpht.com/ytc/AGIKgqPQP_a7O44F5TUoGuVYniP-wf26rfk1yAmqaw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCoS5JLkvyiVlb8ApjBzqvPQ,{'value': 'UCoS5JLkvyiVlb8ApjBzqvPQ'},True,none,0,2023-01-09T11:04:11Z,2023-01-09T11:04:11Z,,UgxPfP36PD7T3iVCCAF4AaABAg
HA1_r3dNk_Q,"1000+ YEARS OF WESTERN COLONIAL FRAUDULENT INTERNATIONAL LAW OF CORRUPTION, EXPLOITATION AND ATROCIOUS WORLD CRIMES. <br>1000+ YEARS OF WESTERN COLONIAL INTERNATIONAL LAW EXPLOITATING THE WORLD FOR THEIR COLONIAL BENEFIT WHILST THE REST OF THE WORLD SUFFERS.","1000+ YEARS OF WESTERN COLONIAL FRAUDULENT INTERNATIONAL LAW OF CORRUPTION, EXPLOITATION AND ATROCIOUS WORLD CRIMES. 
1000+ YEARS OF WESTERN COLONIAL INTERNATIONAL LAW EXPLOITATING THE WORLD FOR THEIR COLONIAL BENEFIT WHILST THE REST OF THE WORLD SUFFERS.",WITE NEO FAZI,https://yt3.ggpht.com/w8cSJZIkR9nHSnCHFpLOJtx4_Kllsnag7f61gJZr0PAgY5wumDVtbwNhLo5-sIMXxsqIjZIPRQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCCFP8nqa207PYPrI7dH2NrQ,{'value': 'UCCFP8nqa207PYPrI7dH2NrQ'},True,none,1,2023-01-09T11:04:09Z,2023-01-09T11:04:09Z,,UgwqUEziav6ffHIRl014AaABAg
HA1_r3dNk_Q,a,a,rachel xiong,https://yt3.ggpht.com/ytc/AGIKgqMPLf-VR63KkNQ75seuQryI1E7F98NA9q1mew=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCTN3BMf-I-wNU82ssDA9Sqw,{'value': 'UCTN3BMf-I-wNU82ssDA9Sqw'},True,none,0,2023-01-09T11:03:52Z,2023-01-09T11:03:52Z,,UgyhxGeVBdFPTIIfnyt4AaABAg
HA1_r3dNk_Q,1500+ YEARS OF WESTERN COLONIAL RACIST HATEFULL FAR RIGHT NAZI TERRORIST PROPAGANDA SLANDER.,1500+ YEARS OF WESTERN COLONIAL RACIST HATEFULL FAR RIGHT NAZI TERRORIST PROPAGANDA SLANDER.,WITE NEO FAZI,https://yt3.ggpht.com/w8cSJZIkR9nHSnCHFpLOJtx4_Kllsnag7f61gJZr0PAgY5wumDVtbwNhLo5-sIMXxsqIjZIPRQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCCFP8nqa207PYPrI7dH2NrQ,{'value': 'UCCFP8nqa207PYPrI7dH2NrQ'},True,none,0,2023-01-09T12:04:46Z,2023-01-09T12:04:46Z,,Ugwf6JzgudvmCUJdNnt4AaABAg.9kenX2BpZR79keuVxKKfm2
HA1_r3dNk_Q,"@Peter Pain GlaxoSmithKline embroiled in scandal in which babies and children were allegedly used as ‘laboratory animals’.<br><br>Orphans and babies as young as three months old have been used as guinea pigs in potentially dangerous medical experiments sponsored by pharmaceutical companies, an Observer investigation has revealed.<br><br>British drug giant GlaxoSmithKline is embroiled in the scandal. The firm sponsored experiments on the children from Incarnation Children&#39;s Centre, a New York care home that specialises in treating HIV sufferers and is run by Catholic charities.<br><br>The children had either been infected with HIV or born to HIV-positive mothers. Their parents were dead, untraceable or deemed unfit to look after them.<br><br>According to documents obtained by The Observer, Glaxo has sponsored at least four medical trials since 1995 using Hispanic and black children at Incarnation. The documents give details of all clinical trials in the US and reveal the experiments sponsored by Glaxo were designed to test the &#39;safety and tolerance&#39; of Aids medications, some of which have potentially dangerous side effects. Glaxo manufactures a number of drugs designed to treat HIV, including AZT.<br><br>Vera Sharav, president of the Alliance for Human Research Protection, said the children had been treated like &#39;laboratory animals&#39;.","@Peter Pain GlaxoSmithKline embroiled in scandal in which babies and children were allegedly used as ‘laboratory animals’.

Orphans and babies as young as three months old have been used as guinea pigs in potentially dangerous medical experiments sponsored by pharmaceutical companies, an Observer investigation has revealed.

British drug giant GlaxoSmithKline is embroiled in the scandal. The firm sponsored experiments on the children from Incarnation Children's Centre, a New York care home that specialises in treating HIV sufferers and is run by Catholic charities.

The children had either been infected with HIV or born to HIV-positive mothers. Their parents were dead, untraceable or deemed unfit to look after them.

According to documents obtained by The Observer, Glaxo has sponsored at least four medical trials since 1995 using Hispanic and black children at Incarnation. The documents give details of all clinical trials in the US and reveal the experiments sponsored by Glaxo were designed to test the 'safety and tolerance' of Aids medications, some of which have potentially dangerous side effects. Glaxo manufactures a number of drugs designed to treat HIV, including AZT.

Vera Sharav, president of the Alliance for Human Research Protection, said the children had been treated like 'laboratory animals'.",WITE NEO FAZI,https://yt3.ggpht.com/w8cSJZIkR9nHSnCHFpLOJtx4_Kllsnag7f61gJZr0PAgY5wumDVtbwNhLo5-sIMXxsqIjZIPRQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCCFP8nqa207PYPrI7dH2NrQ,{'value': 'UCCFP8nqa207PYPrI7dH2NrQ'},True,none,0,2023-01-09T12:04:00Z,2023-01-09T12:04:00Z,,Ugwf6JzgudvmCUJdNnt4AaABAg.9kenX2BpZR79keuQI7wJOP
HA1_r3dNk_Q,True. Yet the americans at least can get decent medical care if they can afford it. China is royally fudged right now ... Dry and with a run-in.,True. Yet the americans at least can get decent medical care if they can afford it. China is royally fudged right now ... Dry and with a run-in.,Peter Pain,https://yt3.ggpht.com/ytc/AGIKgqMGR-wcjI55c5iZHMHkm7cWVf9-b9zgKYfyqifZ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCITepJlEdlNhpuF-TU13ClQ,{'value': 'UCITepJlEdlNhpuF-TU13ClQ'},True,none,0,2023-01-09T12:00:11Z,2023-01-09T12:00:11Z,,Ugwf6JzgudvmCUJdNnt4AaABAg.9kenX2BpZR79ketzOvXw5i
HA1_r3dNk_Q,So you blame a company to make money from its product.<br>Do you know how economy works,"So you blame a company to make money from its product.
Do you know how economy works",s H,https://yt3.ggpht.com/ytc/AGIKgqO1BtAiCH5j6QslTlwY7CONshJHV98t7fF8psj-f0g=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCS-yxBLBqHenNYzpb18SpGg,{'value': 'UCS-yxBLBqHenNYzpb18SpGg'},True,none,0,2023-01-09T11:04:34Z,2023-01-09T11:04:34Z,,Ugx3Xu6xKo3KzeKxGE54AaABAg.9kenSI_gr9C9kenc29_WpF
HA1_r3dNk_Q,China did there best to protect the old citizens.  In the USA you will get a orange conman telling you to drink bleach.,China did there best to protect the old citizens.  In the USA you will get a orange conman telling you to drink bleach.,wai chong,https://yt3.ggpht.com/ytc/AGIKgqMTIJ1eYWTtwGVS5QOHBaToAdqUb8NNz8YsEw5XuFZ_e6uNGOJB5FnuuKfBinDQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC92joOhdTYdy_yRcN5D9qKA,{'value': 'UC92joOhdTYdy_yRcN5D9qKA'},True,none,1,2023-01-09T11:02:20Z,2023-01-09T11:02:20Z,,UgwAvEUAde4kFcsabFB4AaABAg
HA1_r3dNk_Q,"Apart from the obvious chinese people that want to go there, the rest of us should stay well away. Not a nice place at all.","Apart from the obvious chinese people that want to go there, the rest of us should stay well away. Not a nice place at all.",Sniggers4Life,https://yt3.ggpht.com/Ya8Ym2Y59cG7MkSXW-dCGZD2_EKCvLJ6M88DRTbsavfiDZ8N1HfHrrbRziXoX2HGo0O8YG6e1A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCi_L96jtdDq0cblS5_B-VhQ,{'value': 'UCi_L96jtdDq0cblS5_B-VhQ'},True,none,0,2023-01-09T10:59:57Z,2023-01-09T10:59:57Z,,Ugw_0s_H0lyhlJF5mxl4AaABAg
