Variable:,pr
,China,"Anhui Sheng","Beijing Shi","Chongqing Shi","Fujian Sheng","Gansu Sheng","Guangdong Sheng","Guangxi Zhuangzu Zizhiqu","Guizhou Sheng","Hainan Sheng","Hebei Sheng","Heilongjiang Sheng","Henan Sheng","Hubei Sheng","Hunan Sheng","Jiangsu Sheng","Jiangxi Sheng","Jilin Sheng","Liaoning Sheng","Nei Mongol Zizhiqu","Ningxia Huizu Zizhiqu","Qinghai Sheng","Shaanxi Sheng","Shandong Sheng","Shanghai Shi","Shanxi Sheng","Sichuan Sheng","Tianjin Shi","Xinjiang Uygur Zizhiqu","Xizang Zizhiqu","Yunnan Sheng","Zhejiang Sheng"
1969,601.91,1353.70,653.48,1210.02,1645.42,265.19,1681.64,1466.16,1227.64,1095.61,648.24,572.93,769.87,1335.55,1556.66,1058.99,1771.37,631.77,818.53,338.86,250.24,276.88,601.07,684.11,1036.56,597.53,818.88,769.72,129.35,271.76,993.98,1587.21
1970,628.07,1298.73,493.77,1239.74,1780.43,310.27,1946.17,1762.95,1264.55,1836.04,500.63,456.58,750.75,1280.08,1753.97,1145.02,2012.23,536.06,685.15,311.80,335.09,302.52,672.41,793.95,1132.59,498.57,849.29,531.50,112.99,282.12,1240.07,1666.15
1971,576.12,1117.18,467.34,1147.84,1212.90,288.02,1533.45,1554.17,1190.63,1521.59,545.19,573.99,860.80,1126.33,1217.60,987.08,1233.23,676.11,743.38,277.55,253.07,327.74,648.41,845.78,902.20,618.54,801.21,594.69,122.84,287.50,1239.97,1201.37
1972,574.20,1280.88,367.41,1162.39,1744.20,256.17,1993.39,1519.68,1199.07,2098.66,387.83,601.07,726.61,1104.47,1453.08,1103.31,1679.28,607.61,601.31,253.44,239.55,280.50,562.53,641.02,1089.70,387.45,743.29,400.16,131.62,241.09,1064.39,1567.68
1973,661.58,1255.74,656.03,1346.42,1992.24,331.11,2249.60,1755.99,1282.13,2114.00,676.10,524.99,829.07,1313.03,1699.10,946.62,2060.41,606.58,804.91,326.00,362.49,272.64,725.90,730.74,1244.66,686.25,950.98,691.91,112.27,277.19,1290.47,1935.25
1974,600.23,1275.83,500.75,1320.53,1561.11,271.66,1760.42,1465.21,1237.54,1839.01,525.82,557.82,773.08,1091.03,1286.41,1209.53,1530.02,609.29,741.14,293.59,251.25,317.80,659.02,847.24,1191.72,457.23,954.43,563.25,112.05,302.18,1159.03,1607.67
1975,629.98,1398.13,388.38,1272.99,2161.22,320.38,2355.99,1574.48,1122.89,1805.28,443.10,473.58,815.47,1290.76,1661.42,1122.73,2146.87,583.70,718.11,289.90,303.89,329.77,749.04,721.67,1306.59,568.10,872.84,459.78,94.20,260.69,1074.45,1904.41
1976,582.02,987.17,529.37,1122.61,1581.87,305.34,1850.33,1565.89,1302.63,1637.76,581.24,458.47,684.99,962.90,1416.87,904.74,1635.00,537.04,659.33,308.02,326.88,304.74,641.10,674.20,1221.03,622.15,837.52,594.38,111.43,264.80,1185.68,1520.94
1977,599.71,1352.40,599.41,1252.82,1553.77,297.54,1459.22,1467.68,1372.47,1186.19,658.89,507.19,786.87,1278.13,1528.93,1022.62,1756.19,574.80,730.77,334.44,355.93,293.30,608.03,640.88,1451.78,624.02,835.70,823.86,97.01,302.05,1096.18,1718.60
1978,555.70,696.99,570.38,1032.96,1597.04,333.18,1911.32,1593.21,1181.53,2137.56,561.34,487.58,561.98,902.30,1241.20,597.03,1324.34,499.41,606.69,302.74,381.86,275.00,655.36,661.80,743.43,576.89,845.49,598.04,97.18,287.62,1158.05,1220.07
1979,582.97,1131.83,579.86,1228.38,1502.57,334.46,1781.57,1548.97,1195.46,1339.69,574.10,448.39,884.92,1185.96,1294.20,988.74,1414.63,556.20,701.65,334.00,320.83,302.00,640.10,703.57,951.47,519.35,868.27,602.72,122.00,279.85,1093.51,1224.61
1980,603.99,1353.66,392.33,1410.92,1674.74,274.27,1727.43,1469.93,1236.51,1943.90,437.28,540.60,843.82,1475.48,1632.23,1051.85,1852.89,581.26,560.28,257.92,243.51,292.68,691.01,666.09,1250.54,495.66,921.71,458.06,99.67,318.93,1060.57,1569.89
1981,604.74,1151.40,397.76,1095.70,1619.55,337.91,1985.16,1697.77,1023.20,1820.71,434.45,642.60,659.21,1019.41,1458.22,906.14,1718.38,606.60,598.24,306.68,294.79,344.95,755.80,459.36,1165.23,501.50,918.61,464.23,139.89,274.64,1129.11,1576.09
1982,597.35,1173.56,466.92,1408.51,1646.17,261.98,1972.09,1632.28,1281.65,1858.40,495.12,502.52,880.51,1313.21,1626.39,971.18,1738.00,493.46,566.98,263.56,192.56,324.24,658.01,637.35,1112.11,555.29,862.89,478.73,113.63,267.01,1077.49,1489.70
1983,655.79,1424.27,452.02,1461.95,1913.85,341.62,2376.27,1684.72,1318.28,1638.35,472.59,589.46,926.61,1545.50,1534.53,1011.72,1995.85,653.60,659.39,309.08,342.95,333.51,881.21,545.86,1249.50,570.02,907.62,463.30,109.66,255.58,1245.43,1810.41
1984,594.77,1244.72,401.05,1236.22,1639.92,327.52,1679.66,1313.55,1149.12,1417.31,464.91,615.39,931.07,1169.78,1349.17,1033.39,1675.28,616.70,690.42,332.59,331.99,264.40,753.65,741.65,1156.50,517.68,907.50,541.92,121.08,260.22,1104.19,1548.11
1985,605.66,1160.54,568.56,1166.98,1641.68,307.71,1891.29,1495.33,1115.15,1689.89,586.86,592.67,751.05,1076.62,1235.81,1110.48,1520.76,684.15,892.30,319.77,350.52,328.51,692.06,761.07,1322.18,606.06,926.74,669.53,86.08,310.37,1196.21,1462.51
1986,546.54,1034.32,516.98,1115.29,1462.59,250.46,1714.93,1470.93,1085.28,1653.63,487.58,484.24,560.28,1035.09,1225.40,920.57,1386.00,755.65,803.30,278.88,225.54,289.06,512.97,478.88,1077.12,385.40,809.13,561.67,107.13,259.99,1208.48,1288.12
1987,611.44,1374.95,550.81,1205.63,1663.37,264.63,1896.72,1504.44,1080.50,1263.47,558.06,622.85,831.10,1299.73,1428.51,1182.38,1658.60,674.55,748.56,289.80,243.98,307.44,666.20,720.77,1311.90,520.89,865.27,643.00,157.23,290.44,1021.12,1724.83
1988,578.28,952.03,521.50,1072.77,1673.51,321.94,1685.65,1396.26,1086.63,1712.31,535.57,570.20,633.12,1037.87,1332.56,756.21,1597.42,584.09,584.13,326.01,303.79,319.63,708.29,488.19,938.35,630.80,865.77,611.82,146.85,301.12,1017.25,1460.26
1989,590.86,1380.14,371.98,1351.38,1583.45,304.23,1585.27,1150.06,998.21,1757.22,416.83,508.08,881.69,1473.26,1480.42,1080.55,1713.70,573.93,553.35,278.10,306.96,398.65,728.48,495.64,1416.25,543.17,916.62,381.59,119.44,288.39,999.59,1892.22
1990,640.11,1248.77,602.06,1094.20,1864.77,320.58,1711.17,1551.68,1150.25,1956.79,655.16,602.16,831.84,1174.87,1500.02,1201.15,1709.95,694.32,776.97,369.21,353.98,272.84,713.06,954.80,1285.20,619.25,922.71,695.48,126.64,314.29,1209.22,1756.95
