Variable:,pr
,Malaysia,Johor,Kedah,Kelantan,"Kuala Lumpur",Melaka,"Negeri Sembilan",Pahang,Perak,Perlis,"Pulau Pinang",Sabah,Sarawak,Selangor,Terengganu,Labuan
1952,3081.16,3061.25,2456.12,2681.90,2505.20,2308.08,2274.85,2654.49,2798.84,2268.69,2779.71,2826.53,3588.31,2480.42,3044.50,3702.50
1953,2981.82,2409.71,2726.92,3064.18,2535.00,2165.98,2197.95,2783.68,3217.52,2558.43,3129.23,2534.26,3378.81,2524.22,3418.56,3346.20
1954,3252.72,3094.70,2455.24,3072.19,2410.80,2304.90,2221.92,2820.77,3014.39,2275.21,2762.32,2895.86,3818.50,2406.91,3534.52,3876.00
1955,3028.78,2571.40,2289.28,2515.13,2398.00,2111.62,2054.83,2402.76,2739.55,2120.19,2611.72,2859.36,3691.61,2366.06,2586.83,3824.20
1956,3192.16,2860.86,2635.46,3215.54,2517.10,2312.86,2227.40,2735.65,2977.87,2394.98,2834.82,2985.82,3637.47,2436.89,3545.60,3851.00
1957,2788.69,2448.72,2334.11,2909.15,2416.40,2153.05,2085.64,2551.95,2852.58,2168.31,2615.22,2352.15,3188.29,2391.90,3229.45,3112.50
1958,2627.08,2229.90,2296.70,2561.66,2181.60,1904.95,1953.81,2197.50,2640.59,2094.54,2568.94,2193.75,3164.93,2127.75,2596.93,3170.00
1959,3008.58,2846.15,2622.72,3226.07,2782.60,2466.83,2392.28,2757.16,3086.04,2326.09,2771.23,2483.74,3398.46,2659.21,3527.17,3515.70
1960,2895.61,2348.48,2396.72,2809.41,2549.90,2247.90,2270.08,2586.71,2887.37,2168.41,2681.49,2598.01,3329.44,2520.05,3080.87,3287.80
1961,2746.93,2321.76,2392.39,2930.30,2589.70,2230.64,2219.71,2535.86,2865.91,2149.16,2679.26,2263.82,3125.54,2553.77,3253.75,2827.70
1962,3071.15,2512.18,2324.90,2734.10,2505.60,2100.38,2111.89,2568.59,2843.30,2171.21,2572.48,2885.06,3653.96,2519.26,2934.20,3588.60
1963,2779.02,2027.26,2232.59,2516.02,2166.00,1846.11,1827.21,2125.62,2710.35,2078.37,2512.06,2659.90,3360.61,2200.54,2503.68,3109.30
1964,2812.57,3008.68,2369.58,2630.86,2533.20,2379.88,2271.60,2528.02,2781.82,2180.55,2700.79,2270.45,3294.99,2495.81,2820.02,2958.00
1965,2932.61,2254.61,2598.16,3175.56,2610.10,2355.77,2315.55,2552.33,2770.94,2429.64,2695.83,2540.72,3363.54,2519.23,3736.56,3319.00
1966,3231.39,2803.29,2995.94,3734.22,3048.90,2548.61,2649.94,3231.56,3210.68,2707.68,2936.03,2394.34,3651.44,2907.34,4558.63,3589.40
1967,3000.63,3245.34,2283.07,2788.55,2663.10,2447.02,2392.07,2980.25,2780.28,2122.49,2612.78,2395.26,3461.40,2531.10,3462.22,3227.40
1968,2757.31,2366.30,2293.27,2786.77,2494.20,2172.97,2135.33,2484.33,2676.11,2046.85,2478.83,2320.77,3212.67,2395.44,3162.27,2973.20
1969,2894.16,2554.91,2675.97,2975.30,2560.90,2283.08,2259.53,2546.82,3039.67,2383.14,2841.81,2267.18,3447.93,2509.05,2918.11,3239.30
1970,2993.12,2639.91,2632.40,2976.69,2516.70,2405.82,2264.63,2760.42,2976.75,2447.34,3052.77,2626.44,3399.06,2398.38,3354.85,3187.60
1971,2964.81,2300.69,2358.25,2571.86,2419.90,2240.27,2216.76,2801.09,2585.66,2127.96,2636.24,2559.91,3553.55,2314.86,3357.96,3234.60
1972,2462.32,2047.38,2294.96,2500.63,2119.50,1820.07,1802.45,2295.53,2622.64,2066.36,2602.14,2113.08,2785.58,2095.21,2767.40,2576.50
1973,3111.46,2877.40,2989.06,3627.82,2726.20,2345.08,2322.90,2747.79,3237.76,2614.43,2992.76,2406.93,3560.19,2653.40,3994.34,3691.50
1974,2784.53,2050.37,2240.34,2643.51,1969.50,1721.60,1678.75,2161.47,2467.07,2049.13,2415.89,2556.80,3417.69,2003.23,2943.43,3377.20
1975,3029.96,2246.87,2586.54,3322.25,2240.00,1960.98,2023.36,2730.74,2935.97,2373.17,2811.77,2620.28,3478.49,2283.24,4134.04,3358.40
1976,2618.60,2281.89,2182.30,2579.71,2090.00,1936.09,1820.29,2141.12,2515.29,2019.53,2436.68,2259.53,3147.47,2098.53,2688.55,2932.20
1977,2838.86,1989.27,2087.65,2516.25,2069.50,1741.49,1725.07,2047.12,2549.51,1825.44,2429.51,2675.36,3597.59,2093.64,2444.74,3204.00
1978,2542.77,2733.49,2086.85,2142.75,2046.00,1799.29,1776.08,2134.44,2419.09,1906.59,2434.30,2202.49,3046.80,2031.56,2317.68,2495.00
1979,2769.67,2280.20,2243.97,2520.57,2292.30,2068.20,1943.60,2161.50,2586.83,1954.89,2366.49,2502.96,3381.73,2239.30,2505.02,3703.10
1980,3026.67,2634.61,2542.29,2933.97,2372.20,2060.31,2008.83,2484.59,2935.31,2377.17,2880.43,2798.83,3524.56,2375.25,3182.95,3599.60
1981,2895.66,1955.20,2027.49,2527.17,2238.30,1862.63,1907.62,2136.78,2411.93,1775.27,2215.41,2695.16,3681.82,2182.73,2821.43,3452.00
1982,2553.19,2321.89,2304.02,2521.76,2254.60,1989.36,1919.38,2264.91,2777.97,2205.14,2654.44,2046.11,3001.45,2300.01,2534.18,2723.90
1983,2662.17,2155.71,2234.90,2474.64,1837.90,1699.40,1579.51,2018.94,2369.28,2122.88,2365.13,2042.25,3505.07,1864.10,2678.66,3221.40
1984,3317.38,3144.97,2249.06,2906.17,2783.80,2450.06,2468.19,2923.60,2904.69,2049.02,2533.06,3100.40,3867.53,2707.26,3413.81,4079.10
