Variable:,pr
,Australia,"Australian Capital Territory","Coral Sea Islands Territory","New South Wales","Northern Territory","Other Territories",Queensland,"South Australia",Tasmania,Victoria,"Western Australia"
2011,560.21,971.64,NaN,619.20,657.92,1237.90,725.06,281.89,1284.89,769.25,448.36
2012,471.71,808.93,NaN,549.57,575.90,1221.70,672.97,185.41,1119.30,612.67,336.89
2013,446.96,818.35,NaN,520.61,572.03,1280.80,517.55,207.76,1204.25,644.29,365.65
2014,461.90,840.72,NaN,497.94,590.39,1167.10,587.47,217.65,955.49,575.34,368.95
2015,450.31,1007.53,NaN,564.44,592.42,1354.70,579.16,208.54,881.34,558.74,323.91
2016,498.77,1018.00,NaN,617.57,592.64,1360.90,618.37,304.42,1237.26,773.32,361.70
2017,471.19,650.75,NaN,482.71,621.67,994.70,604.54,243.27,971.80,630.33,359.03
2018,447.31,630.72,NaN,408.84,567.87,957.10,601.86,206.14,1029.41,548.13,360.65
2019,377.37,506.00,NaN,354.19,491.77,748.30,578.17,152.57,867.16,520.84,249.19
2020,485.01,1085.85,NaN,644.80,571.64,1440.70,648.15,246.30,1207.14,718.55,330.65
2021,494.12,1166.50,NaN,704.66,584.03,1620.10,653.93,226.60,1250.11,754.38,332.22
